21:21:07:803 [ALWAYS]	GUDE Logging Started
21:21:07:803 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:21:07:803 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:21:07:803 [ERROR]	Initialize resume cache pointer failure
21:21:07:803 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
21:21:07:803 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:21:14:250 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
21:21:14:250 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:21:14:250 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:21:14:250 [ERROR]	Initialize resume cache pointer failure
21:21:14:251 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
21:21:14:251 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
